test_name,lucknow_price,url
"ALLERGY: CHICKEN (Murgi) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-chicken/lucknow
"ALLERGY: CHICKPEA (Kabuli Chana) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-chickpea/lucknow
"ALLERGY: CELERY (Ajmoda) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-celery/lucknow
"ALLERGY: CLADOSPORIUM HERBARUM in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-cladosporium-herbarum/lucknow
"ALLERGY: COCKLEBUR (Bichha / Kutta) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-cocklebur/lucknow
"ALLERGY: COCKROACH in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-cockroach/lucknow
"ALLERGY: COCOA in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-cocoa/lucknow
"ALLERGY: COCONUT (Nariyal) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-coconut/lucknow
"ALLERGY: COFFEE in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-coffee/lucknow
"ALLERGY: COTTONWOOD in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-cottonwood/lucknow
"ALLERGY: COMMON PIGWEED (Kantewali Chauli) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-common-pigweed/lucknow
"ALLERGY: CUCUMBER (Kheera) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-cucumber/lucknow
"ALLERGY: COW DANDER in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-cow-dander/lucknow
"ALLERGY: DOG DANDER in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-dog-dander/lucknow
"ALLERGY: EGG WHITE (Anda) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-egg-white/lucknow
"ALLERGY: ELM (Papdi Chibil) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-elm/lucknow
"ALLERGY: GOOSEFOOT (Bathua) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-goosefoot/lucknow
"ALLERGY: EUCALYPTUS (Nilgiri / Safeda) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-eucalyptus/lucknow
"ALLERGY: HORSE DANDER in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-horse-dander/lucknow
"ALLERGY: GLUTEN (Lasa) in Lucknow - ₹1970.00, Home Collection Available",1970.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-gluten/lucknow
"ALLERGY: FISH (Machli) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-fish/lucknow
"ALLERGY: EGG YOLK (Anda) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-egg-yolk/lucknow
"ALLERGY: GARLIC (Lasoon) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-garlic/lucknow
"ALLERGY: HOUSE DUST in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-house-dust/lucknow
"ALLERGY: LEMON (Neembu) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-lemon/lucknow
"ALLERGY: JOHNSON GRASS (Sorghum Halepense / Jowar) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-johnson-grass/lucknow
"ALLERGY: LENTIL (Dal) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-lentil/lucknow
"ALLERGY: MAIZE (Bhutta) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-maize/lucknow
"ALLERGY: MANGO (Aam) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-mango/lucknow
"ALLERGY: MEADOW GRASS (Lawn Grass) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-meadow-grass/lucknow
"ALLERGY: MELALEUCA in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-melaleuca/lucknow
"ALLERGY: MESQUITE (Pahari Keekar) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-mesquite/lucknow
"ALLERGY: MILK (Doodh) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-milk/lucknow
"ALLERGY: MUG WORT (Artemisia Vulgaris / Barna) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-mug-wort/lucknow
"ALLERGY: OLIVE in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-olive/lucknow
"ALLERGY: MUSSEL in Lucknow - ₹1080.00, Home Collection Available",1080.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-mussel/lucknow
"ALLERGY: MUTTON (Meat) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-mutton/lucknow
"ALLERGY: MUSHROOM (Kukurmutta) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-mushroom/lucknow
"ALLERGY: OAT in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-oat/lucknow
"ALLERGY: OAK in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-oak/lucknow
"ALLERGY: MULBERRY (Shahtoot) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-mulberry/lucknow
